"","teamName","state","epiweek","cases"
"1","Team1","MG",202416,1293.90673538284
"2","Team1","MG",202417,4201.76975569428
"3","Team1","MG",202418,6561.49629714671
"4","Team1","MG",202419,1450.79887169936
"5","Team1","MG",202420,1916.83858651727
"6","Team1","MG",202421,6088.02152041178
"7","Team1","MG",202422,8653.58703544614
"8","Team1","MG",202423,4818.62900530561
"9","Team1","MG",202424,6563.03394019476
"10","Team1","MG",202425,2649.99864287542
"11","Team1","MG",202426,4322.52327741104
"12","Team1","MG",202427,2001.65880064168
"13","Team1","SP",202416,65.6179945091549
"14","Team1","SP",202417,4467.26619516981
"15","Team1","SP",202418,-2016.95913424708
"16","Team1","SP",202419,2035.9968992087
"17","Team1","SP",202420,3272.68971036926
"18","Team1","SP",202421,1391.6930736685
"19","Team1","SP",202422,3386.78851272671
"20","Team1","SP",202423,3260.78965502465
"21","Team1","SP",202424,4628.16042479955
"22","Team1","SP",202425,1432.04768567736
"23","Team1","SP",202426,-677.178412639705
"24","Team1","SP",202427,5185.45007834033
"25","Team1","RS",202416,1213.2677742951
"26","Team1","RS",202417,4045.96961088595
"27","Team1","RS",202418,3845.2027116343
"28","Team1","RS",202419,4536.96328355436
"29","Team1","RS",202420,4522.85908455521
"30","Team1","RS",202421,5427.88854283512
"31","Team1","RS",202422,5945.75852485235
"32","Team1","RS",202423,4711.0966416772
"33","Team1","RS",202424,-1330.53909483726
"34","Team1","RS",202425,4482.72470846413
"35","Team1","RS",202426,2997.21658852562
"36","Team1","RS",202427,5955.45006132126
"37","Team1","BA",202416,4638.72521201131
"38","Team1","BA",202417,932.531809534661
"39","Team1","BA",202418,4678.98290208773
"40","Team1","BA",202419,936.503804839633
"41","Team1","BA",202420,-146.358270843368
"42","Team1","BA",202421,2598.79753944305
"43","Team1","BA",202422,2554.7652974523
"44","Team1","BA",202423,5608.46196750545
"45","Team1","BA",202424,5108.97715649477
"46","Team1","BA",202425,4169.83341768573
"47","Team1","BA",202426,-1602.84713481008
"48","Team1","BA",202427,6725.84156686843
"49","Team1","PR",202416,2578.62205266452
"50","Team1","PR",202417,3281.89208682302
"51","Team1","PR",202418,-94.4040511711714
"52","Team1","PR",202419,401.016723357119
"53","Team1","PR",202420,-184.91178776677
"54","Team1","PR",202421,1197.44668270991
"55","Team1","PR",202422,2518.65921958896
"56","Team1","PR",202423,2359.76972331949
"57","Team1","PR",202424,5119.97747355314
"58","Team1","PR",202425,4411.63414928171
"59","Team1","PR",202426,3866.40959830985
"60","Team1","PR",202427,4994.55985427614
